20181930-20:19:22:129246028 $GPGSV,2,1,06,02,,,22,04,,,36,05,,,31,12,,,22*7B
20181930-20:19:22:134285039 $GPGSV,2,2,06,20,,,25,29,,,44*71
20181930-20:19:22:425404674 $GLGSV,1,1,04,66,,,39,82,,,32,83,,,42,,,,32*6C
20181930-20:19:22:430401653 $GNGLL,,,,,034142.00,V,N*54
20181930-20:19:22:435494153 $GNZDA,034142.00,31,01,2018,00,00*70
20181930-20:19:22:902028632 $GNRMC,034143.00,V,,,,,,,310118,,,N*68
20181930-20:19:22:906910924 $GNVTG,,,,,,,,,N*2E
20181930-20:19:23:006325455 $GNGGA,034143.00,,,,,0,00,99.99,,,,,,*79
20181930-20:19:23:011395872 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:23:016604101 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:23:109983111 $GPGSV,2,1,06,02,,,20,04,,,37,05,,,33,12,,,22*7A
20181930-20:19:23:114730455 $GPGSV,2,2,06,20,,,23,29,,,42*71
20181930-20:19:23:415407069 $GLGSV,1,1,04,66,,,41,82,,,34,83,,,41,,,,32*66
20181930-20:19:23:420285767 $GNGLL,,,,,034143.00,V,N*55
20181930-20:19:23:425214517 $GNZDA,034143.00,31,01,2018,00,00*71
20181930-20:19:23:903657590 $GNRMC,034144.00,V,,,,,,,310118,,,N*6F
20181930-20:19:23:908419152 $GNVTG,,,,,,,,,N*2E
20181930-20:19:24:007860507 $GNGGA,034144.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:24:012876340 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:24:017873892 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:24:112143684 $GPGSV,2,1,06,02,,,16,04,,,39,05,,,34,12,,,24*70
20181930-20:19:24:117272277 $GPGSV,2,2,06,20,,,23,29,,,42*71
20181930-20:19:24:415294673 $GLGSV,1,1,04,66,,,41,82,,,35,83,,,42,,,,32*64
20181930-20:19:24:419915142 $GNGLL,,,,,034144.00,V,N*52
20181930-20:19:24:424837225 $GNZDA,034144.00,31,01,2018,00,00*76
20181930-20:19:24:913051704 $GNRMC,034145.00,V,,,,,,,310118,,,N*6E
20181930-20:19:24:917910038 $GNVTG,,,,,,,,,N*2E
20181930-20:19:25:017268110 $GNGGA,034145.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:25:022366652 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:25:027638371 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:25:121359569 $GPGSV,2,1,06,02,,,16,04,,,40,05,,,35,12,,,26*7D
20181930-20:19:25:126589360 $GPGSV,2,2,06,20,,,27,29,,,43*74
20181930-20:19:25:425359881 $GLGSV,1,1,04,66,,,38,82,,,35,83,,,40,,,,31*6B
20181930-20:19:25:430110819 $GNGLL,,,,,034145.00,V,N*53
20181930-20:19:25:435113006 $GNZDA,034145.00,31,01,2018,00,00*77
20181930-20:19:25:923557381 $GNRMC,034146.00,V,,,,,,,310118,,,N*6D
20181930-20:19:25:928779256 $GNVTG,,,,,,,,,N*2E
20181930-20:19:26:027575558 $GNGGA,034146.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:26:032676547 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:26:037832797 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:26:132017329 $GPGSV,2,1,06,02,,,19,04,,,41,05,,,35,12,,,27*72
20181930-20:19:26:136940714 $GPGSV,2,2,06,20,,,28,29,,,44*7C
20181930-20:19:26:435502485 $GLGSV,1,1,04,66,,,40,82,,,36,83,,,38,,,,31*68
20181930-20:19:26:440332797 $GNGLL,,,,,034146.00,V,N*50
20181930-20:19:26:445290454 $GNZDA,034146.00,31,01,2018,00,00*74
20181930-20:19:26:909181808 $GNRMC,034147.00,V,,,,,,,310118,,,N*6C
20181930-20:19:26:914038735 $GNVTG,,,,,,,,,N*2E
20181930-20:19:27:013593526 $GNGGA,034147.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:27:018668839 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:27:023755089 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:27:117503370 $GPGSV,2,1,06,02,,,21,04,,,39,05,,,36,12,,,27*75
20181930-20:19:27:122737901 $GPGSV,2,2,06,20,,,27,29,,,42*75
20181930-20:19:27:415362120 $GLGSV,1,1,04,66,,,39,82,,,36,83,,,35,,,,22*69
20181930-20:19:27:420224568 $GNGLL,,,,,034147.00,V,N*51
20181930-20:19:27:425114620 $GNZDA,034147.00,31,01,2018,00,00*75
20181930-20:19:27:847365401 $GNRMC,034148.00,V,,,,,,,310118,,,N*63
20181930-20:19:27:852207276 $GNVTG,,,,,,,,,N*2E
20181930-20:19:27:952389047 $GNGGA,034148.00,,,,,0,00,99.99,,,,,,*72
20181930-20:19:27:958849932 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:27:964279880 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:28:057087953 $GPGSV,2,1,06,02,,,26,04,,,39,05,,,38,12,,,28*73
20181930-20:19:28:062164984 $GPGSV,2,2,06,20,,,26,29,,,42*74
20181930-20:19:28:355521390 $GLGSV,1,1,04,66,,,39,82,,,36,83,,,36,,,,20*68
20181930-20:19:28:360327953 $GNGLL,,,,,034148.00,V,N*5E
20181930-20:19:28:365221599 $GNZDA,034148.00,31,01,2018,00,00*7A
20181930-20:19:28:916713369 $GNRMC,034149.00,V,,,,,,,310118,,,N*62
20181930-20:19:28:921768734 $GNVTG,,,,,,,,,N*2E
20181930-20:19:29:020761807 $GNGGA,034149.00,,,,,0,00,99.99,,,,,,*73
20181930-20:19:29:025840869 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:29:030792380 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
