20181330-20:13:33:432175362 $GLGSV,1,1,00*65
20181330-20:13:33:436895518 $GNGLL,,,,,,V,N*7A
20181330-20:13:33:441789580 $GNZDA,,,,,00,00*56
20181330-20:13:34:071503851 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:34:076415882 $GNVTG,,,,,,,,,N*2E
20181330-20:13:34:081415778 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:34:175521403 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:34:180686820 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:34:185433955 $GPGSV,1,1,00*79
20181330-20:13:34:432331924 $GLGSV,1,1,00*65
20181330-20:13:34:442847236 $GNGLL,,,,,,V,N*7A
20181330-20:13:34:447568434 $GNZDA,,,,,00,00*56
20181330-20:13:35:072373434 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:35:077576299 $GNVTG,,,,,,,,,N*2E
20181330-20:13:35:082825361 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:35:176226090 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:35:181269319 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:35:186258486 $GPGSV,1,1,00*79
20181330-20:13:35:432184111 $GLGSV,1,1,00*65
20181330-20:13:35:436806403 $GNGLL,,,,,,V,N*7A
20181330-20:13:35:441604059 $GNZDA,,,,,00,00*56
20181330-20:13:36:071584944 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:36:076362184 $GNVTG,,,,,,,,,N*2E
20181330-20:13:36:081156611 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:36:175384423 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:36:180278121 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:36:185049788 $GPGSV,1,1,00*79
20181330-20:13:36:432206871 $GLGSV,1,1,00*65
20181330-20:13:36:436899840 $GNGLL,,,,,,V,N*7A
20181330-20:13:36:441676454 $GNZDA,,,,,00,00*56
20181330-20:13:37:070859162 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:37:075701610 $GNVTG,,,,,,,,,N*2E
20181330-20:13:37:080641819 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:37:174983537 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:37:179998433 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:37:184766037 $GPGSV,1,1,00*79
20181330-20:13:37:432206871 $GLGSV,1,1,00*65
20181330-20:13:37:436955204 $GNGLL,,,,,,V,N*7A
20181330-20:13:37:441930673 $GNZDA,,,,,00,00*56
20181330-20:13:38:073026506 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:38:083841870 $GNVTG,,,,,,,,,N*2E
20181330-20:13:38:089412704 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:38:175807391 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:38:181295516 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:38:186659422 $GPGSV,1,1,00*79
20181330-20:13:38:430448381 $GLGSV,1,1,00*65
20181330-20:13:38:433077235 $GNGLL,,,,,,V,N*7A
20181330-20:13:38:435788329 $GNZDA,,,,,00,00*56
