20181726-14:17:39:139186027 $GPGSV,2,2,08,13,13,033,41,15,,,32,19,,,34,20,,,25*4B
20181726-14:17:39:238151704 $GLGSV,1,1,02,,,,41,,,,41*67
20181726-14:17:39:243342797 $GNGLL,3651.99082,S,17443.43110,E,033303.00,A,A*63
20181726-14:17:39:454987693 $GNZDA,033303.00,26,01,2018,00,00*76
20181726-14:17:39:822096026 $GNRMC,033304.00,A,3651.99044,S,17443.43119,E,0.132,,260118,,,A*72
20181726-14:17:39:927039516 $GNVTG,,T,,M,0.132,N,0.244,K,A*3F
20181726-14:17:39:933149151 $GNGGA,033304.00,3651.99044,S,17443.43119,E,1,04,2.17,16.0,M,28.1,M,,*6E
20181726-14:17:40:030092276 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:40:035000245 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:40:134261860 $GPGSV,2,1,08,02,46,122,33,05,81,086,38,06,,,36,12,38,331,40*44
20181726-14:17:40:139477224 $GPGSV,2,2,08,13,13,033,40,15,,,30,19,,,35,20,,,25*49
20181726-14:17:40:238292380 $GLGSV,1,1,02,,,,41,,,,41*67
20181726-14:17:40:243365453 $GNGLL,3651.99044,S,17443.43119,E,033304.00,A,A*67
20181726-14:17:40:455024932 $GNZDA,033304.00,26,01,2018,00,00*71
20181726-14:17:40:814926338 $GNRMC,033305.00,A,3651.99029,S,17443.43082,E,0.246,,260118,,,A*7B
20181726-14:17:40:920999932 $GNVTG,,T,,M,0.246,N,0.456,K,A*3A
20181726-14:17:40:927610036 $GNGGA,033305.00,3651.99029,S,17443.43082,E,1,04,2.17,16.4,M,28.1,M,,*63
20181726-14:17:41:024130401 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:41:028920818 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:41:128404724 $GPGSV,2,1,08,02,46,122,31,05,81,086,37,06,,,35,12,38,331,40*4A
20181726-14:17:41:133533682 $GPGSV,2,2,08,13,13,033,42,15,,,29,19,,,35,20,,,24*42
20181726-14:17:41:232493422 $GLGSV,1,1,02,,,,38,,,,40*68
20181726-14:17:41:237364567 $GNGLL,3651.99029,S,17443.43082,E,033305.00,A,A*6E
20181726-14:17:41:445117744 $GNZDA,033305.00,26,01,2018,00,00*70
20181726-14:17:41:833985921 $GNRMC,033306.00,A,3651.98972,S,17443.43075,E,0.114,,260118,,,A*72
20181726-14:17:41:939377432 $GNVTG,,T,,M,0.114,N,0.210,K,A*3A
20181726-14:17:41:944310661 $GNGGA,033306.00,3651.98972,S,17443.43075,E,1,04,2.17,17.3,M,28.1,M,,*68
20181726-14:17:42:043376807 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:42:048210244 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:42:147324932 $GPGSV,2,1,08,02,46,122,35,05,81,086,37,06,,,35,12,38,331,40*4E
20181726-14:17:42:152265609 $GPGSV,2,2,08,13,13,033,39,15,,,29,19,,,35,20,,,26*4C
20181726-14:17:42:251570192 $GLGSV,1,1,02,,,,39,,,,40*69
20181726-14:17:42:256481130 $GNGLL,3651.98972,S,17443.43075,E,033306.00,A,A*63
20181726-14:17:42:464947692 $GNZDA,033306.00,26,01,2018,00,00*73
20181726-14:17:42:821533890 $GNRMC,033307.00,A,3651.98951,S,17443.43063,E,0.053,,260118,,,A*77
20181726-14:17:42:926029619 $GNVTG,,T,,M,0.053,N,0.099,K,A*3B
20181726-14:17:42:932134411 $GNGGA,033307.00,3651.98951,S,17443.43063,E,1,04,2.17,17.6,M,28.1,M,,*6A
20181726-14:17:43:029430452 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:43:034333369 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:43:133659306 $GPGSV,2,1,08,02,46,122,35,05,81,086,37,06,,,33,12,38,331,40*48
20181726-14:17:43:138525088 $GPGSV,2,2,08,13,13,033,38,15,,,30,19,,,34,20,,,27*45
20181726-14:17:43:237625608 $GLGSV,1,1,04,,,,40,,,,40,,,,35,,,,35*61
20181726-14:17:43:242428890 $GNGLL,3651.98951,S,17443.43063,E,033307.00,A,A*64
20181726-14:17:43:465131494 $GNZDA,033307.00,26,01,2018,00,00*72
20181726-14:17:43:821683004 $GNRMC,033308.00,A,3651.98948,S,17443.43058,E,0.014,,260118,,,A*7B
20181726-14:17:43:925921546 $GNVTG,,T,,M,0.014,N,0.027,K,A*3D
20181726-14:17:43:931464202 $GNGGA,033308.00,3651.98948,S,17443.43058,E,1,04,2.17,17.5,M,28.1,M,,*66
20181726-14:17:44:029682952 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:44:034553889 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:44:133984566 $GPGSV,3,1,09,02,46,122,35,05,81,086,37,06,,,32,12,38,331,40*49
20181726-14:17:44:138727379 $GPGSV,3,2,09,13,13,033,38,15,,,29,19,,,34,20,,,27*4D
20181726-14:17:44:237934618 $GPGSV,3,3,09,25,44,276,*44
20181726-14:17:44:242802796 $GLGSV,2,1,05,,,,39,,,,40,,,,36,,,,36*6D
20181726-14:17:44:247547118 $GLGSV,2,2,05,,,,39*6A
20181726-14:17:44:525249410 $GNGLL,3651.98948,S,17443.43058,E,033308.00,A,A*6B
20181726-14:17:44:530231597 $GNZDA,033308.00,26,01,2018,00,00*7D
20181726-14:17:44:825081077 $GNRMC,033309.00,A,3651.98951,S,17443.43052,E,0.071,,260118,,,A*7B
20181726-14:17:44:929502483 $GNVTG,,T,,M,0.071,N,0.132,K,A*3B
20181726-14:17:44:934673316 $GNGGA,033309.00,3651.98951,S,17443.43052,E,1,04,2.17,17.2,M,28.1,M,,*62
20181726-14:17:45:033322431 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:45:038036545 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:45:137413785 $GPGSV,3,1,09,02,46,122,32,05,81,086,37,06,,,32,12,38,331,41*4F
20181726-14:17:45:142247847 $GPGSV,3,2,09,13,13,033,40,15,,,27,19,,,35,20,,,26*4C
20181726-14:17:45:241428212 $GPGSV,3,3,09,25,44,276,*44
20181726-14:17:45:246266649 $GLGSV,2,1,05,,,,36,,,,40,,,,36,,,,32*66
20181726-14:17:45:251231024 $GLGSV,2,2,05,,,,36*65
20181726-14:17:45:525039826 $GNGLL,3651.98951,S,17443.43052,E,033309.00,A,A*68
