20181930-20:19:19:686032123 $GNRMC,022740.50,V,,,,,,,310118,,,N*6F
20181930-20:19:19:692242019 $GNVTG,,,,,,,,,N*2E
20181930-20:19:19:697756029 $GNGGA,022740.50,,,,,0,03,4.23,,,,,,*48
20181930-20:19:19:789453164 $GNGSA,A,1,02,,,,,,,,,,,,4.35,4.23,1.00*1A
20181930-20:19:19:794103269 $GNGSA,A,1,66,67,,,,,,,,,,,4.35,4.23,1.00*19
20181930-20:19:19:893563633 $GPGSV,2,1,07,02,61,147,38,05,,,43,06,,,36,12,,,35*45
20181930-20:19:19:898458737 $GPGSV,2,2,07,19,,,29,20,,,32,29,,,34*72
20181930-20:19:19:997657175 $GLGSV,1,1,03,66,51,109,39,67,41,025,39,82,,,36*66
20181930-20:19:20:002329050 $GNGLL,,,,,022740.50,V,N*52
20181930-20:19:20:101761966 $GNZDA,022740.50,31,01,2018,00,00*76
20181930-20:19:20:106367644 $GNRMC,022741.00,V,,,,,,,310118,,,N*6B
20181930-20:19:20:111500091 $GNVTG,,,,,,,,,N*2E
20181930-20:19:20:206124831 $GNGGA,022741.00,,,,,0,03,4.23,,,,,,*4C
20181930-20:19:20:211455821 $GNGSA,A,1,02,,,,,,,,,,,,4.35,4.23,1.00*1A
20181930-20:19:20:216600716 $GNGSA,A,1,66,67,,,,,,,,,,,4.35,4.23,1.00*19
20181930-20:19:20:310312018 $GPGSV,2,1,07,02,61,147,38,05,,,43,06,,,35,12,,,35*46
20181930-20:19:20:315246185 $GPGSV,2,2,07,19,,,34,20,,,32,29,,,35*7F
20181930-20:19:20:414433998 $GLGSV,1,1,03,66,51,109,39,67,41,025,41,82,,,36*69
20181930-20:19:20:419332331 $GNGLL,,,,,022741.00,V,N*56
20181930-20:19:20:632300091 $GNZDA,022741.00,31,01,2018,00,00*72
20181930-20:19:21:109526445 $GNRMC,022742.00,V,,,,,,,310118,,,N*68
20181930-20:19:21:114365924 $GNVTG,,,,,,,,,N*2E
20181930-20:19:21:213454362 $GNGGA,022742.00,,,,,0,03,4.23,,,,,,*4F
20181930-20:19:21:218731289 $GNGSA,A,1,02,,,,,,,,,,,,4.35,4.23,1.00*1A
20181930-20:19:21:223792174 $GNGSA,A,1,66,67,,,,,,,,,,,4.35,4.23,1.00*19
20181930-20:19:21:317711601 $GPGSV,2,1,07,02,61,147,38,05,,,43,06,,,34,12,,,33*41
20181930-20:19:21:322890456 $GPGSV,2,2,07,19,,,33,20,,,33,29,,,34*78
20181930-20:19:21:421921237 $GLGSV,1,1,03,66,51,109,40,67,41,025,40,82,,,35*65
20181930-20:19:21:426787903 $GNGLL,,,,,022742.00,V,N*55
20181930-20:19:21:632303893 $GNZDA,022742.00,31,01,2018,00,00*71
20181930-20:19:22:113180559 $GNRMC,022743.00,V,,,,,,,310118,,,N*69
20181930-20:19:22:118285507 $GNVTG,,,,,,,,,N*2E
20181930-20:19:22:217062174 $GNGGA,022743.00,,,,,0,03,4.23,,,,,,*4E
20181930-20:19:22:222133476 $GNGSA,A,1,02,,,,,,,,,,,,4.35,4.23,1.00*1A
20181930-20:19:22:226929674 $GNGSA,A,1,66,67,,,,,,,,,,,4.35,4.23,1.00*19
20181930-20:19:22:321348841 $GPGSV,2,1,07,02,61,147,38,05,,,44,06,,,33,12,,,38*4A
20181930-20:19:22:326440611 $GPGSV,2,2,07,19,,,29,20,,,32,29,,,34*72
20181930-20:19:22:425377851 $GLGSV,1,1,03,66,51,109,38,67,41,025,38,82,,,35*65
20181930-20:19:22:430281236 $GNGLL,,,,,022743.00,V,N*54
20181930-20:19:22:642431861 $GNZDA,022743.00,31,01,2018,00,00*70
20181930-20:19:23:104212851 $GNRMC,022744.00,V,,,,,,,310118,,,N*6E
20181930-20:19:23:109019830 $GNVTG,,,,,,,,,N*2E
20181930-20:19:23:208298371 $GNGGA,022744.00,,,,,0,03,4.24,,,,,,*4E
20181930-20:19:23:213351809 $GNGSA,A,1,02,,,,,,,,,,,,4.35,4.24,1.00*1D
20181930-20:19:23:218074153 $GNGSA,A,1,66,67,,,,,,,,,,,4.35,4.24,1.00*1E
20181930-20:19:23:312446028 $GPGSV,2,1,07,02,61,147,38,05,,,44,06,,,34,12,,,37*42
20181930-20:19:23:317484101 $GPGSV,2,2,07,19,,,28,20,,,33,29,,,34*72
20181930-20:19:23:416625142 $GLGSV,1,1,03,66,51,109,39,67,41,025,37,82,,,35*6B
20181930-20:19:23:421538996 $GNGLL,,,,,022744.00,V,N*53
20181930-20:19:23:632353892 $GNZDA,022744.00,31,01,2018,00,00*77
20181930-20:19:24:112692069 $GNRMC,022745.00,V,,,,,,,310118,,,N*6F
20181930-20:19:24:117341965 $GNVTG,,,,,,,,,N*2E
20181930-20:19:24:216598840 $GNGGA,022745.00,,,,,0,03,4.24,,,,,,*4F
20181930-20:19:24:221423163 $GNGSA,A,1,02,,,,,,,,,,,,4.35,4.24,1.00*1D
20181930-20:19:24:226652850 $GNGSA,A,1,66,67,,,,,,,,,,,4.35,4.24,1.00*1E
20181930-20:19:24:321253059 $GPGSV,2,1,07,02,61,147,39,05,,,44,06,,,34,12,,,36*42
20181930-20:19:24:326270611 $GPGSV,2,2,07,19,,,30,20,,,33,29,,,35*7A
20181930-20:19:24:425332069 $GLGSV,1,1,04,65,07,155,,66,51,109,38,67,41,025,38,82,,,36*54
20181930-20:19:24:430268267 $GNGLL,,,,,022745.00,V,N*52
20181930-20:19:24:652726079 $GNZDA,022745.00,31,01,2018,00,00*76
20181930-20:19:25:116062642 $GNRMC,022746.00,V,,,,,,,310118,,,N*6C
20181930-20:19:25:120830298 $GNVTG,,,,,,,,,N*2E
20181930-20:19:25:221885037 $GNGGA,022746.00,,,,,0,03,4.24,,,,,,*4C
20181930-20:19:25:227106860 $GNGSA,A,1,02,,,,,,,,,,,,4.36,4.24,1.00*1E
20181930-20:19:25:232277850 $GNGSA,A,1,66,67,,,,,,,,,,,4.36,4.24,1.00*1D
20181930-20:19:25:324501496 $GPGSV,2,1,07,02,61,147,38,05,,,44,06,,,34,12,,,36*43
20181930-20:19:25:329637485 $GPGSV,2,2,07,19,,,32,20,,,33,29,,,35*78
20181930-20:19:25:428415089 $GLGSV,2,1,05,65,07,155,,66,51,109,38,67,41,025,36,82,,,35*5B
20181930-20:19:25:433365558 $GLGSV,2,2,05,,,,37*64
20181930-20:19:25:692611912 $GNGLL,,,,,022746.00,V,N*51
20181930-20:19:25:697510871 $GNZDA,022746.00,31,01,2018,00,00*75
20181930-20:19:26:112033422 $GNRMC,022747.00,V,,,,,,,310118,,,N*6D
20181930-20:19:26:116867589 $GNVTG,,,,,,,,,N*2E
20181930-20:19:26:216021756 $GNGGA,022747.00,,,,,0,03,4.24,,,,,,*4D
20181930-20:19:26:221147485 $GNGSA,A,1,02,,,,,,,,,,,,4.36,4.24,1.00*1E
20181930-20:19:26:226173318 $GNGSA,A,1,66,67,,,,,,,,,,,4.36,4.24,1.00*1D
20181930-20:19:26:320287433 $GPGSV,2,1,07,02,61,147,38,05,,,44,06,,,33,12,,,35*47
20181930-20:19:26:325431235 $GPGSV,2,2,07,19,,,31,20,,,33,29,,,33*7D
20181930-20:19:26:424411235 $GLGSV,2,1,05,65,07,155,,66,51,109,38,67,41,025,38,82,,,36*56
20181930-20:19:26:429490245 $GLGSV,2,2,05,,,,37*64
20181930-20:19:26:672373422 $GNGLL,,,,,022747.00,V,N*50
20181930-20:19:26:677356651 $GNZDA,022747.00,31,01,2018,00,00*74
20181930-20:19:27:104279203 $GNRMC,022748.00,V,,,,,,,310118,,,N*62
20181930-20:19:27:109201651 $GNVTG,,,,,,,,,N*2E
20181930-20:19:27:208368422 $GNGGA,022748.00,,,,,0,03,4.24,,,,,,*42
20181930-20:19:27:213590245 $GNGSA,A,1,02,,,,,,,,,,,,4.36,4.24,1.00*1E
20181930-20:19:27:218534307 $GNGSA,A,1,66,67,,,,,,,,,,,4.36,4.24,1.00*1D
20181930-20:19:27:313802120 $GPGSV,2,1,07,02,61,147,38,05,,,43,06,,,33,12,,,36*43
20181930-20:19:27:318725401 $GPGSV,2,2,07,19,,,29,20,,,32,29,,,33*75
