20184526-13:45:31:204058680 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:31:209362482 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:31:303022378 $GPGSV,2,1,06,02,,,37,05,,,35,06,,,36,19,,,33*72
20184526-13:45:31:307739774 $GPGSV,2,2,06,20,,,37,29,,,30*71
20184526-13:45:31:407584982 $GLGSV,2,1,05,,,,27,,,,28,,,,36,,,,30*6A
20184526-13:45:31:412646024 $GLGSV,2,2,05,,,,27*65
20184526-13:45:31:417460138 $GNGLL,,,,,024039.00,V,N*58
20184526-13:45:31:622151232 $GNZDA,024039.00,26,01,2018,00,00*7A
20184526-13:45:32:079956857 $GNRMC,024040.00,V,,,,,,,260118,,,N*6D
20184526-13:45:32:085003940 $GNVTG,,,,,,,,,N*2E
20184526-13:45:32:183841076 $GNGGA,024040.00,,,,,0,00,99.99,,,,,,*7A
20184526-13:45:32:188545763 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:32:193286857 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:32:288000763 $GPGSV,2,1,06,02,,,34,05,,,32,06,,,35,19,,,33*75
20184526-13:45:32:292883003 $GPGSV,2,2,06,20,,,37,29,,,31*70
20184526-13:45:32:393123784 $GLGSV,2,1,05,70,,,26,74,,,30,,,,37,,,,34*63
20184526-13:45:32:398099148 $GLGSV,2,2,05,,,,37*64
20184526-13:45:32:403378055 $GNGLL,,,,,024040.00,V,N*56
20184526-13:45:32:612263940 $GNZDA,024040.00,26,01,2018,00,00*74
20184526-13:45:33:095464044 $GNRMC,024041.00,V,,,,,,,260118,,,N*6C
20184526-13:45:33:100286544 $GNVTG,,,,,,,,,N*2E
20184526-13:45:33:199577534 $GNGGA,024041.00,,,,,0,00,99.99,,,,,,*7B
20184526-13:45:33:204311700 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:33:209272586 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:33:303620971 $GPGSV,2,1,06,02,,,35,05,,,31,06,,,37,19,,,34*72
20184526-13:45:33:308549044 $GPGSV,2,2,06,20,,,36,29,,,29*78
20184526-13:45:33:407664252 $GLGSV,2,1,05,70,,,26,74,,,31,,,,36,,,,34*63
20184526-13:45:33:412674721 $GLGSV,2,2,05,,,,36*65
20184526-13:45:33:417952846 $GNGLL,,,,,024041.00,V,N*57
20184526-13:45:33:662271231 $GNZDA,024041.00,26,01,2018,00,00*75
20184526-13:45:34:092222585 $GNRMC,024042.00,V,,,,,,,260118,,,N*6F
20184526-13:45:34:096827742 $GNVTG,,,,,,,,,N*2E
20184526-13:45:34:196095814 $GNGGA,024042.00,,,,,0,00,99.99,,,,,,*78
20184526-13:45:34:200861075 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:34:206071127 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:34:300385919 $GPGSV,2,1,06,02,,,35,05,,,30,06,,,38,19,,,34*7C
20184526-13:45:34:305101908 $GPGSV,2,2,06,20,,,36,29,,,30*70
20184526-13:45:34:404436387 $GLGSV,2,1,05,68,,,36,70,,,25,74,,,31,84,,,34*62
20184526-13:45:34:409178887 $GLGSV,2,2,05,,,,32*61
20184526-13:45:34:414387533 $GNGLL,,,,,024042.00,V,N*54
20184526-13:45:34:632233523 $GNZDA,024042.00,26,01,2018,00,00*76
20184526-13:45:35:101721335 $GNRMC,024043.00,V,,,,,,,260118,,,N*6E
20184526-13:45:35:106248002 $GNVTG,,,,,,,,,N*2E
20184526-13:45:35:205624147 $GNGGA,024043.00,,,,,0,00,99.99,,,,,,*79
20184526-13:45:35:210345449 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:35:215513106 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:35:309982272 $GPGSV,2,1,06,02,,,37,05,,,31,06,,,38,19,,,34*7F
20184526-13:45:35:315018574 $GPGSV,2,2,06,20,,,37,29,,,32*73
20184526-13:45:35:414022793 $GLGSV,2,1,05,68,,,37,70,,,25,74,,,30,84,,,34*62
20184526-13:45:35:419103054 $GLGSV,2,2,05,,,,31*62
20184526-13:45:35:424147064 $GNGLL,,,,,024043.00,V,N*55
20184526-13:45:35:632235189 $GNZDA,024043.00,26,01,2018,00,00*77
20184526-13:45:36:088910501 $GNRMC,024044.00,V,,,,,,,260118,,,N*69
20184526-13:45:36:093989147 $GNVTG,,,,,,,,,N*2E
20184526-13:45:36:192569355 $GNGGA,024044.00,,,,,0,00,99.99,,,,,,*7E
20184526-13:45:36:197588574 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:36:202778366 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:36:296774564 $GPGSV,2,1,06,02,,,39,05,,,35,06,,,40,19,,,37*79
20184526-13:45:36:301774824 $GPGSV,2,2,06,20,,,37,29,,,29*79
20184526-13:45:36:401221803 $GLGSV,2,1,05,68,,,39,70,,,25,74,,,29,84,,,33*63
20184526-13:45:36:406282949 $GLGSV,2,2,05,,,,31*62
20184526-13:45:36:411428262 $GNGLL,,,,,024044.00,V,N*52
20184526-13:45:36:622096178 $GNZDA,024044.00,26,01,2018,00,00*70
20184526-13:45:37:094516230 $GNRMC,024045.00,V,,,,,,,260118,,,N*68
20184526-13:45:37:099537063 $GNVTG,,,,,,,,,N*2E
20184526-13:45:37:199875553 $GNGGA,024045.00,,,,,0,00,99.99,,,,,,*7F
20184526-13:45:37:204848470 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:37:209855709 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:37:303983470 $GPGSV,2,1,06,02,,,31,05,,,35,06,,,26,19,,,39*7F
20184526-13:45:37:309219303 $GPGSV,2,2,06,20,,,30,29,,,27*70
20184526-13:45:37:408007897 $GLGSV,2,1,05,68,,,38,70,,,29,74,,,22,84,,,33*65
20184526-13:45:37:413044824 $GLGSV,2,2,05,,,,29*6B
20184526-13:45:37:417928574 $GNGLL,,,,,024045.00,V,N*53
20184526-13:45:37:632165240 $GNZDA,024045.00,26,01,2018,00,00*71
20184526-13:45:38:090442219 $GNRMC,024046.00,V,,,,,,,260118,,,N*6B
20184526-13:45:38:095560605 $GNVTG,,,,,,,,,N*2E
20184526-13:45:38:194373053 $GNGGA,024046.00,,,,,0,00,99.99,,,,,,*7C
20184526-13:45:38:199266073 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
